tconst;actor.primaryname
tt0121569;Mark Dermott
tt0121569;Thomas Finn
tt0121569;Tony Devon
tt0143558;Tam??s Ravasz
tt0143558;J??nos Derzsi
tt0143558;Luk??cs Bicskey
tt0146592;??kos Horv??th
tt0146592;Istv??n Znamen??k
tt0153140;Levente Moln??r
tt0153140;Zolt??n Bezer??dy
tt0153140;Barnab??s T??th
tt0154039;Daniel Olbrychski
tt0154039;Simon Szab??
tt0154039;Korn??l Mundrucz??
tt0154039;Gy??rgy Cserhalmi
tt0159369;Len Cariou
tt0159369;Sam Waterston
tt0162942;Yu Debin
tt0162942;Zolt??n R??t??ti
tt0162942;Ferenc Lengyel
tt0176694;P??ter Blask??
tt0187902;David Chiang
tt0230212;R.J. Adams
tt0230212;Rob Adams
tt0247643;Pedro Lander
tt0247643;??scar Borda
tt0249516;Charlie Sheen
tt0254832;Ken Ward
tt0254832;Jeff Stearns
tt0270417;Cliff Bemis
tt0270417;Jason Alexander
tt0270417;Carlos M. Castill??n
tt0285252;Robert Wagner
tt0285252;Christopher Walken
tt0285252;R.J. Knoll
tt0285252;Darren Geare
tt0288190;Salvatore Basile
tt0288190;C??sar Mora
tt0288190;Jairo Camargo
tt0289146;Ivan Franek
tt0289146;Andrej Hryc
tt0293069;River Phoenix
tt0293069;Jonathan Pryce
tt0293354;Marcin Labno
tt0295911;Allen Ginsberg
tt0295911;Ethan Hawke
tt0295911;Gregory Corso
tt0295911;William S. Burroughs
tt0304876;Harald Krassnitzer
tt0304876;Hanno Koffler
tt0306058;Darren Campbell
tt0306058;Jay Boyer
tt0306058;J.J. Donier
tt0311448;Cliff Jenkins
tt0311448;Robert Bennett
tt0311448;Paul Sanderson
tt0311698;Mark Strohman
tt0312305;Samuel L. Jackson
tt0312305;Hayden Christensen
tt0312305;Chris Pine
tt0312958;Marko Zaror
tt0312958;Hugo Stiglitz
tt0312958;Francisco Calvo
tt0323808;Henry Garrett
tt0323808;Graham McTavish
tt0326592;Michael David Lally
tt0326592;Ron Jeremy
tt0326592;Cary Wayne Moore
tt0326965;Tim Draxl
tt0326965;Philip Winchester
tt0327597;John Hodgman
tt0330238;Scott Bridges
tt0330238;Rich Duva
tt0330811;John Hurt
tt0331312;Daniel Ball
tt0331312;Michael Callahan
tt0331312;Frankie J. Mosca
tt0337692;Sam Riley
tt0337692;Garrett Hedlund
tt0337882;Mark Boyd
tt0337882;Sam Logan Khaleghi
tt0344074;Amit Garg
tt0344074;Rupinder Nagra
tt0346631;Eamonn Walker
tt0346631;Michael Jai White
tt0346631;Julian Sands
tt0346631;Dante Basco
tt0353665;Enoc Lea??o
tt0353665;Plutarco Haza
tt0353765;Manuel Manqui??a
tt0353765;Chete Lera
tt0359950;Ben Stiller
tt0359950;Jon Daly
tt0361748;Eli Roth
tt0361748;Brad Pitt
tt0362478;James Rebhorn
tt0362478;James Marsden
tt0362478;Frank Langella
tt0365873;Kris Arnold
tt0365873;Dan DeLuca
tt0365873;Brian Sherman
tt0365929;Gabriel Macht
tt0365929;Tom Skerritt
tt0365929;Columbus Short
tt0372538;Vincent Pastore
tt0372538;Ben Curtis
tt0372538;Kory Bassett
tt0373340;Bradley Dorsey
tt0373340;Chris Ebling
tt0374853;Danny Dyer
tt0374853;Nathaniel Parker
tt0374853;Matt King
tt0375568;Nicolas Cage
tt0375568;Freddie Highmore
tt0376136;Michael Rispoli
tt0376136;Johnny Depp
tt0376136;Aaron Eckhart
tt0376136;Giovanni Ribisi
tt0377981;James McAvoy
tt0378546;Ivan Rogers
tt0380510;Mark Wahlberg
tt0381940;Martin Rapold
tt0381957;Derek Jacobi
tt0381957;Steve Varden
tt0382579;Henry Dittman
tt0382579;Rance Howard
tt0382579;Conrad Roberts
tt0383010;Will Sasso
tt0383010;Sean Hayes
tt0383010;Chris Diamantopoulos
tt0386117;Forest Whitaker
tt0386117;Max Records
tt0393049;Michael Warren
tt0393049;Bill Moseley
tt0396123;Carsten Brandt
tt0398286;Ron Perlman
tt0398286;Zachary Levi
tt0400320;Tom Froysland
tt0400320;Bern Kubiak
tt0400320;Jason Brunner
tt0400320;Tom Burruss
tt0401729;Taylor Kitsch
tt0401729;Willem Dafoe
tt0403645;Sergey Makovetskiy
tt0403645;Nikita Mikhalkov
tt0403645;Oleg Menshikov
tt0403702;Ray Liotta
tt0403702;Michael Cera
tt0404978;Stanley Tucci
tt0404978;Alan Rickman
tt0404978;Colin Firth
tt0405022;Lo??c Peckels
tt0405022;Harry Ferrier
tt0405022;Michael N. Kuehl
tt0405022;Layke Anderson
tt0406282;Ole Thestrup
tt0406282;Mads Koudal
tt0406282;Kim S??nderholm
tt0407194;Peter Abraham
tt0407194;Al Liner
tt0407852;Ern?? Fekete
tt0408060;Zolt??n Mucsi
tt0408060;P??l M??csai
tt0408060;L??szl?? Sink??
tt0409379;Oscar Isaac
tt0409379;Tom Felton
tt0409459;Jackie Earle Haley
tt0409459;Patrick Wilson
tt0409847;Harrison Ford
tt0409847;Daniel Craig
tt0411670;Collin Stark
tt0411670;Ajay Vidure
tt0411670;Stephan Weyte
tt0411951;Cary-Hiroyuki Tagawa
tt0411951;Ian Anthony Dale
tt0411951;Jon Foo
tt0417205;Dian Bachar
tt0417610;Luis Mach??n
tt0417610;Carlos Belloso
tt0417741;Daniel Radcliffe
tt0417741;Michael Gambon
tt0417741;Rupert Grint
tt0419692;Holmes Osborne
tt0419692;Eddie Jones
tt0421237;Alexander Wraith
tt0421237;Pat Morita
tt0423474;Abraham Benrubi
tt0423474;Eddie Guerra
tt0423474;Eddie Kaye Thomas
tt0423474;Donald Faison
tt0425080;Okan Yalabik
tt0425080;Murat Yildirim
tt0425141;Ken Miller
tt0425141;Gunnar Hansen
tt0425785;Alejandro Awada
tt0425785;Juan Blasi
tt0425785;Nicol??s Condito
tt0426566;Mat??as Desiderio
tt0426566;Federico Luppi
tt0426566;Gabriel Corrado
tt0426566;Gustavo Garz??n
tt0426566;Nicol??s Condito
tt0427152;Paul Rudd
tt0427152;Steve Carell
tt0427152;Zach Galifianakis
tt0429493;Bradley Cooper
tt0429493;Liam Neeson
tt0429493;Sharlto Copley
tt0431021;Jeffrey Dean Morgan
tt0431670;Carlos Kaspar
tt0431670;Mart??n Pavlovsky
tt0431670;Gast??n Pauls
tt0432283;Bill Murray
tt0432283;George Clooney
tt0432283;Jason Schwartzman
tt0432314;Gabriel Byrne
tt0432314;Armin Mueller-Stahl
tt0433035;Anthony Mackie
tt0433035;Dakota Goyo
tt0433035;Hugh Jackman
tt0433362;Sam Neill
tt0433362;Willem Dafoe
tt0433362;Ethan Hawke
tt0433397;Hamilton von Watts
tt0433397;Michael Cudlitz
tt0433397;Robert Guillaume
tt0433533;Marcelo Alonso
tt0433533;Eduardo Paxeco
tt0433787;John Phillip Law
tt0435711;Tate Donovan
tt0435711;Adam Pascal
tt0435716;Anton Pardoe
tt0435716;Anthony Dilio
tt0435716;David Beck
tt0435716;Ken Clark
tt0435761;Ned Beatty
tt0435761;Tim Allen
tt0435761;Tom Hanks
tt0436154;Tom Andrews
tt0436154;Marek Ameriks
tt0436154;Percy Alexander
tt0436230;Joey Medina
tt0436230;Danny Trejo
tt0436230;B-Real
tt0436339;Will Arnett
tt0436339;Bill Nighy
tt0436339;Zach Galifianakis
tt0436405;Richard Coquillas
tt0437065;Roger Lim
tt0437065;Bobby Dodge
tt0437405;Jeff Daniels
tt0437405;Ryan Reynolds
tt0437462;David La Haye
tt0437462;Alain Moussay
tt0437462;Aur??lien Recoing
tt0437550;Yan England
tt0437550;Sabin Lomac
tt0437550;Matthew Del Negro
tt0437550;Tim Kubart
tt0438154;Ewen Bremner
tt0438154;David Richmond-Peck
tt0438154;Tyler Labine
tt0438488;Sam Worthington
tt0438488;Anton Yelchin
tt0438488;Christian Bale
tt0438894;Aashish Chaudhary
tt0438894;Yash Tonk
tt0438894;Arshad Warsi
tt0439724;Jake Maskall
tt0439724;Michael Greco
tt0439724;Steven Berkoff
tt0439801;Thiago Lacerda
tt0439801;Milton Gon??alves
tt0439801;Marcio Rosario
tt0441328;David Svehl??k
tt0441328;Karel Zima
tt0441506;Kagan Goh
tt0443272;David Strathairn
tt0443272;Daniel Day-Lewis
tt0443272;Joseph Gordon-Levitt
tt0443331;Shahid Kapoor
tt0444531;Txema Blasco
tt0444531;Francisco Boira
tt0445054;Claude Legault
tt0445054;Martin Dubreuil
tt0445054;R??my Girard
tt0445693;Steve Hong
tt0445693;Cheng Guang
tt0445693;Rong Tian
tt0445968;Sriharsh Sharma
tt0445968;Adil Hussain
tt0446029;Michael Cera
tt0446029;Kieran Culkin
tt0446564;Edgar Amorim
tt0446564;Andr?? Barros
tt0446564;Cac?? Amaral
tt0446564;Jos?? de Abreu
tt0446686;Coby Bell
tt0446686;Tyson Beckford
tt0446686;Jim Brown
tt0447160;JoJo Henrickson
tt0447160;Frank Alvarez
tt0447160;Bern Martinez
tt0447692;Guillaume Gouix
tt0447692;Gr??goire Leprince-Ringuet
tt0447692;Arthur Dupont
tt0447692;Pierre Niney
tt0448011;Nicolas Cage
tt0448011;Chandler Canterbury
tt0448022;Jackson Hurst
tt0448093;Ruffy Samuel Quansah
tt0448694;Antonio Banderas
tt0448694;Billy Bob Thornton
tt0448694;Zach Galifianakis
tt0449005;Joe O'Byrne
tt0449005;Paul Birtwistle
tt0450336;Henry Cavill
tt0450336;Michael Fassbender
tt0450336;Dominic Purcell
tt0450405;Chris Massoglia
tt0450405;John C. Reilly
tt0450405;Josh Hutcherson
tt0451108;Gary Cairns
tt0451108;Dylan Booth
tt0451108;Matthew Thompson
tt0451108;James Lee Martinec
tt0451154;Sam Upton
tt0451154;Jason Hamer
tt0452183;Michael Winslow
tt0452183;Pat Morita
tt0452183;Dennis Rodman
tt0452664;Marcelo Adnet
tt0452664;Stepan Nercessian
tt0452664;Eduardo Sterblitch
tt0452694;Ron Livingston
tt0452694;Eric Bana
tt0452935;Zoe Berriat??a
tt0452935;Francisco Algora
tt0453501;Boman Irani
tt0453501;Anubhav Anand
tt0453501;Anupam Kher
tt0453562;Chadwick Boseman
tt0453562;T.R. Knight
tt0453562;Harrison Ford
tt0454155;Orlando Mastropaolo
tt0454155;Walter Corn??s
tt0454155;Rodrigo Lico Lorente
tt0454155;Alejandro Parrilla
tt0454876;Irrfan Khan
tt0454876;Suraj Sharma
tt0454876;Adil Hussain
tt0454918;Andor Luk??ts
tt0454918;Antonie Kamerling
tt0455323;Robert De Niro
tt0455323;Paul Dano
tt0455407;Joe Anderson
tt0455407;Timothy Olyphant
tt0456407;Annu Kapoor
tt0456407;Farhan Akhtar
tt0456407;Mathieu Carri??re
tt0457355;Stephen Lang
tt0457355;Alex Nesic
tt0457355;Kuno Becker
tt0457355;Steven Bauer
tt0457400;Will Ferrell
tt0457400;Danny McBride
tt0457400;Jorma Taccone
tt0457591;Trent Harris
tt0458339;Hugo Weaving
tt0458339;Chris Evans
tt0458339;Samuel L. Jackson
tt0458455;David Wenham
tt0458455;John Goodman
tt0458455;Iain Glen
tt0458515;Tobias Moretti
tt0458515;Sergi Roca
tt0458525;Hugh Jackman
tt0458525;Danny Huston
tt0458525;Ryan Reynolds
tt0458525;Liev Schreiber
tt0459748;Mikhail Efremov
tt0459748;Vladimir Epifantsev
tt0459748;Sergey Shnurov
tt0459748;Andrey Fomin
tt0460778;Brian Deneen
tt0460778;Jacob Zachar
tt0460778;John Malkovich
tt0460778;John Goodman
tt0460809;Chuck Zito
tt0460809;Arthur J. Nascarella
tt0460809;Peter Greene
tt0460809;James Madio
tt0460943;Paul McCloskey
tt0460943;Michael J. Panichelli Jr.
tt0461336;Jes??s Ochoa
tt0461336;Gerardo Taracena
tt0461336;Miguel Rodarte
tt0461336;Joaqu??n Cosio
tt0461653;Jeremy Northam
tt0461653;Sergey Gubanov
tt0461653;Boris Birman
tt0462036;Greg Adamson
tt0462036;Wayne Hamilton
tt0462036;Brenden Gallagher
tt0462036;Sean H.A. Gallagher
tt0462036;Terry Gillespie
tt0462232;Andy Boswell
tt0462232;Nick Searcy
tt0462232;Matt Keeslar
tt0462479;Luis Romano
tt0462516;Angus Scrimm
tt0462516;Reggie Bannister
tt0462516;Don Wood
tt0462559;Brent Knudson
tt0462559;Jeremy Jacobson
tt0462559;Al Harrington
tt0462559;Quintin Bell
tt0463311;Michael Madsen
tt0463311;Roberto Cano
tt0463311;Selton Mello
tt0463960;Dean Winters
tt0464032;Anthony Moscato
tt0464032;Alex Safi
tt0464032;Jason Waugh
tt0464032;James Hyde
tt0464077;Joel Vejendla
tt0464077;Jess Mondine
tt0464077;Devin Bone
tt0464077;Dan Dewey
tt0464137;Gary Carlos Cervantes
tt0464137;Tom Carver
tt0464154;Ving Rhames
tt0464154;Jerry O'Connell
tt0464154;Richard Dreyfuss
tt0464162;Manoj Bajpayee
tt0464162;Girish Karnad
tt0464162;Pawan Kalyan
tt0464891;Michael Muhney
tt0464891;Pat Morita
tt0464891;Eddie Jones
tt0465580;Chris Evans
tt0465580;Colin Ford
tt0465637;Ed Lauter
tt0465637;Jeff Osterhage
tt0465637;Mark Gantt
tt0465637;Branscombe Richmond
tt0465760;Michael Belisaro
tt0465760;Tony Devon
tt0465760;Patrick Bates
tt0466553;Mithun Chakraborty
tt0466553;Ferdous Ahmed
tt0466893;Mark Ruffalo
tt0466893;Matt Damon
tt0468529;Tony Rocha
tt0468529;Chaney Kley
tt0468529;Gabriel Macht
tt0469021;Karl Theobald
tt0469021;Tim Key
tt0469021;Steve Coogan
tt0469021;Colm Meaney
tt0469094;Lloyd DeLeon
tt0469152;Carlos Leon
tt0469152;Roger Robinson
tt0469158;Frank Alvarez
tt0469158;Dennis Baesa
tt0469251;Chris Chauncey
tt0469251;Chris Fogleman
tt0469251;William Gregory Lee
tt0469318;Ron Perlman
tt0469318;Thomas Jane
tt0469318;Chris Browning
tt0470846;Paul J. Alessi
tt0470846;Gary Weeks
tt0470846;Rob Botts
tt0471041;Robert Carlyle
tt0471041;Ving Rhames
tt0471041;Ian Somerhalder
tt0471042;Eddie Murphy
tt0471042;Casey Affleck
tt0471042;Ben Stiller
tt0471042;Alan Alda
tt0472033;Christopher Plummer
tt0472033;Elijah Wood
tt0472033;Crispin Glover
tt0472181;Neil Patrick Harris
tt0472181;Hank Azaria
tt0472181;Jonathan Winters
tt0472198;Momo Dione
tt0472198;Jamal Woolard
tt0472198;Anthony Mackie
tt0472198;Derek Luke
tt0472399;Jason Statham
tt0472399;Ben Foster
tt0472399;Tony Goldwyn
tt0472399;Donald Sutherland
tt0473075;Ben Kingsley
tt0473075;Alfred Molina
tt0473075;Jake Gyllenhaal
tt0473088;John F. Schaffer
tt0473088;Adam Lamb
tt0473102;Moises Arias
tt0473102;Cheech Marin
tt0473102;Clifton Collins Jr.
tt0473102;Jake T. Austin
tt0473122;Dustin Chase
tt0473122;Jeff Stevens
tt0473122;Matt Ragan
tt0473122;Mickey Rooney
tt0473343;Alejandro Alcondez
tt0473343;Ilia Volok
tt0473343;Nestor Serrano
tt0473364;Gary Stretch
tt0473364;Stephen Rea
tt0473364;Vinnie Jones
tt0473705;Russell Crowe
tt0473705;Ben Affleck
tt0474819;Sal Darigo
tt0474819;Freddie Ganno
tt0474819;Tony Devon
tt0475239;Jay Rowlands
tt0475239;Alan Luxmore
tt0475239;Fred Butler
tt0475259;Thomas Lennon
tt0475259;Christian Finnegan
tt0475272;Paul Krasner
tt0475272;Robert Harriell
tt0475272;Paul Weissman
tt0475360;Chris Grabher
tt0475360;Shane Patrick Kearns
tt0475970;Matthew Lawrence
tt0475970;Devon Sawa
tt0475970;Dan White
tt0475970;Kevin Alejandro
tt0475983;Andy Waldschmidt
tt0475983;Nathan Crooker
tt0476009;Ben Wells
tt0476009;Robert Belushi
tt0476023;Jon Polito
tt0476023;Louis Vanaria
tt0476023;Danny Aiello
tt0476023;Frank Bongiorno
tt0477080;Chris Pine
tt0477080;Ethan Suplee
tt0477080;Denzel Washington
tt0477087;Adam Bernstein
tt0477302;Thomas Horn
tt0477302;Tom Hanks
tt0477302;Max von Sydow
tt0478304;Brad Pitt
tt0478304;Hunter McCracken
tt0478304;Sean Penn
tt0478660;Jean-Pierre S??vegrand
tt0478660;Sergi Soler
tt0478860;Jos?? Wilker
tt0478860;Jonathan Haagensen
tt0479051;Mark Brunetti
tt0479204;Scot Williams
tt0479204;Jesse Bradford
